,x,y,z,fov_id,predicted_name,predicted_id,probability,distance
86252,843,417,8,226,Taar7a,212,0.8951697,
86253,1034,563,8,226,Cnr1,32,0.9837496,
86254,1334,721,8,226,Slc51a,1,0.99543047,
86255,670,1568,8,226,Htr6,206,0.9961578,
86256,1012,642,8,226,background,266,0.50144655,
86257,765,1450,8,226,Slc5a1,50,0.99552757,
86258,1725,872,8,226,Fzd5,167,0.99765897,
86259,731,1582,8,226,background,266,0.90692204,
86260,598,1253,8,226,Cnr1,32,0.9912777,
86261,1612,502,8,226,background,266,0.9922975,
86262,768,1428,8,226,Net1,46,0.99982053,
86263,709,918,8,226,background,266,0.98174137,
86264,1557,641,8,226,Chrm4,176,0.9819587,
86265,1551,1303,8,226,Tnfrsf21,122,0.8522548,
86266,1674,918,8,226,background,266,0.95128465,
86267,949,1241,8,226,Htr6,206,0.70868146,
86268,1688,437,8,226,background,266,0.77587503,
86269,1864,405,8,226,Slc5a1,50,0.8302504,
86270,1809,355,8,226,Fzd5,167,0.9840978,
86271,819,1580,8,226,Apob,45,0.91298556,
86272,1027,693,8,226,background,266,0.99100566,
86273,1331,450,8,226,Slc51a,1,0.95374274,
86274,700,776,8,226,Blank-01,242,0.9375053,
86275,747,1400,8,226,Net1,46,0.9998105,
86276,1671,1380,8,226,Ada,48,0.81945616,
86277,1739,413,8,226,background,266,0.5443933,
86278,975,567,8,226,background,266,0.9964438,
86279,858,300,8,226,Rgs4,22,0.89890814,
86280,1885,1191,8,226,Blank-18,259,0.5443564,
86281,1262,870,8,226,Taar7a,212,0.8987669,
86282,1357,646,8,226,Slc51a,1,1.0,
86283,878,615,8,226,background,266,0.893325,
86284,1232,403,8,226,Itgae,84,0.99536264,
86285,1307,491,8,226,S1pr5,160,0.6492226,
86286,676,729,8,226,Net1,46,0.9998165,
86287,973,1253,8,226,Vim,58,0.9997948,
86288,1660,851,8,226,Slc51a,1,0.948415,
86289,878,1682,8,226,background,266,0.68869704,
